hour,target_coverage,empirical_coverage,avg_interval_width,n_samples
0,0.9,0.9034,0.1016,9000
1,0.9,0.8934,0.0687,9000
2,0.9,0.8951,0.0545,9000
3,0.9,0.9063,0.0586,9000
4,0.9,0.9003,0.0787,9000
5,0.9,0.898,0.1179,9000
6,0.9,0.8952,0.2015,9000
7,0.9,0.9074,0.2821,9000
8,0.9,0.9028,0.2952,9000
9,0.9,0.9088,0.3011,9000
10,0.9,0.9036,0.2897,9000
11,0.9,0.899,0.2881,9000
12,0.9,0.9039,0.29,9000
13,0.9,0.9023,0.2978,9000
14,0.9,0.8947,0.3036,9000
15,0.9,0.9053,0.321,9000
16,0.9,0.8954,0.2978,9000
17,0.9,0.9023,0.2927,9000
18,0.9,0.9006,0.2893,9000
19,0.9,0.9021,0.2872,9000
20,0.9,0.9082,0.2838,9000
21,0.9,0.8972,0.2141,9000
22,0.9,0.9074,0.1698,9000
23,0.9,0.9053,0.1292,8850
